,barcode,category,categoryCode,name,topBrand,brand_id,cpg_oid,cpg_ref,brandCode
920,511111619109,Baking,BAKING,test brand @1610135035679,False,5ff8b5fbbe37ce4a13986611,5ff8b5fbbe37ce4a1398660d,Cogs,TEST BRANDCODE @1610135035679
921,511111519089,Baking,BAKING,test brand @1610135035546,False,5ff8b5fbbe37ce4a1398660f,5ff8b5fbbe37ce4a1398660d,Cogs,TEST BRANDCODE @1610135035546
922,511111819134,Baking,BAKING,test brand @1610493088286,False,5ffe2ca0be37ce5e01754c0a,5ffe2ca0be37ce5e01754c09,Cogs,TEST BRANDCODE @1610493088287
923,511111519157,Baking,BAKING,test brand @1610493088459,False,5ffe2ca0be37ce5e01754c0c,5ffe2ca0be37ce5e01754c09,Cogs,TEST BRANDCODE @1610493088459
924,511111019145,Baking,BAKING,test brand @1610493088421,False,5ffe2ca0be37ce5e01754c0b,5ffe2ca0be37ce5e01754c09,Cogs,TEST BRANDCODE @1610493088421
925,511111719168,Baking,BAKING,test brand @1610493088494,False,5ffe2ca0be37ce5e01754c0d,5ffe2ca0be37ce5e01754c09,Cogs,TEST BRANDCODE @1610493088494
926,511111819066,Baking,BAKING,test brand @1610058197026,False,5ff789d5be37ce786ba0f6a9,5ff789d5be37ce786ba0f6a8,Cogs,
927,511111119043,Baking,BAKING,test brand @1610058181760,False,5ff789c5be37ce786ba0f6a6,5ff789c5be37ce786ba0f6a2,Cogs,TEST BRANDCODE @1610058181760
928,511111319078,Baking,BAKING,test brand @1610135035331,False,5ff8b5fbbe37ce4a1398660e,5ff8b5fbbe37ce4a1398660d,Cogs,TEST BRANDCODE @1610135035332
929,511111619055,Candy & Sweets,CANDY_AND_SWEETS,test brand @1610058182453,False,5ff789c6be37ce786ba0f6a7,5332fa12e4b03c9a25efd1e7,Cogs,TEST BRANDCODE @1610058182453
930,511111419020,Baking,BAKING,test brand @1610058181682,False,5ff789c5be37ce786ba0f6a4,5ff789c5be37ce786ba0f6a2,Cogs,TEST BRANDCODE @1610058181682
931,511111919032,Baking,BAKING,test brand @1610058181719,False,5ff789c5be37ce786ba0f6a5,5ff789c5be37ce786ba0f6a2,Cogs,TEST BRANDCODE @1610058181719
932,511111906285,Breakfast & Cereal,,Hershey's™ Cereal,,5dc07bee1dda2c0ad7da64ac,5332f5f3e4b03c9a25efd0ae,Cogs,HERSHEYS CEREAL
933,511111415787,Baking,BAKING,test brand @1598296704728,,5f441280be37ce5dbe9b7c7f,5f441280be37ce5dbe9b7c7d,Cogs,TEST BRANDCODE @1598296704728
934,511111701347,Beverages,,Amp Energy,False,58861c7e4e8d0d20bc42c4f5,53e10d6368abd3c7065097cc,Cogs,AMP
935,511111003755,,,Fuze,,5332f754e4b03c9a25efd112,5332f5ebe4b03c9a25efd0a8,Cpgs,
936,511111905318,Magazines,,Eat This Not That Magazine,,5d66d6a2a3a018093ab34727,5d5d4fd16d5f3b23d1bc7905,Cogs,511111905318
937,511111500940,Personal Care,,AXE,False,592486bde410d61fcea3d120,5332f5f6e4b03c9a25efd0b4,Cogs,AXE
938,511111116035,Baking,BAKING,test brand @1598635435855,,5f493dabbe37ce64d0ae36bc,5f493dabbe37ce64d0ae36ba,Cogs,TEST BRANDCODE @1598635435855
939,511111617907,Candy & Sweets,CANDY_AND_SWEETS,test brand @1606765582946,False,5fc54c0ebe37ce1911dbb3b6,5332fa12e4b03c9a25efd1e7,Cogs,TEST BRANDCODE @1606765582946
940,511111503811,,,Kemps,,5332f712e4b03c9a25efd0f8,5332f712e4b03c9a25efd0f9,Cpgs,
941,511111203834,Beverages,,Barmen,,5332f70ae4b03c9a25efd0f4,53e10d6368abd3c7065097cc,Cpgs,
942,511111216933,Baking,BAKING,test brand @1601939064752,,5f7ba678be37ce23081c5297,5f7ba678be37ce23081c5296,Cogs,
943,511111806509,Breakfast & Cereal,,alexa-o's,True,5c6d51d695144c607914426f,5c6d516795144c607914426e,Cogs,ALEXA-O'S
944,511111904014,,,Frosted Mini-Wheats,,5332f5f4e4b03c9a25efd0af,5332f5f2e4b03c9a25efd0aa,Cpgs,
945,511111005704,Health & Wellness,,Bayer® ASPRIN TAB/ CAPS/ CHEWS,,5da607ef1dda2c3e1416ae89,53e10d6368abd3c7065097cc,Cogs,511111005704
946,511111017172,Baking,BAKING,test brand @1603925792078,,5f99f720be37ce13da9eaded,5f99f720be37ce13da9eadec,Cogs,
947,511111805069,Magazines,,InStyle,,5d6417dda3a018514994f42a,5d5d4fd16d5f3b23d1bc7905,Cogs,511111805069
948,511111402244,Beer Wine Spirits,,Steel Reserve,False,57e581dfe4b0ac389136a30e,5332f709e4b03c9a25efd0f1,Cogs,STEEL RESERVE
949,511111904946,Snacks,,Pop Works & Company Popcorn,,5d603430a3a018514994f423,5332f5fbe4b03c9a25efd0ba,Cogs,POP WORKS & COMPANY
950,511111900498,Snacks,,SABRITONES,,5a4d2489e4b0d5c3fd86b67a,5332f5fbe4b03c9a25efd0ba,Cogs,SABRITONES
951,511111205456,Magazines,,TIME Special Edition Magazine,,5d66def56d5f3b6188d4f052,5d5d4fd16d5f3b23d1bc7905,Cogs,511111205456
952,511111200314,Grocery,,SURE-JELL,False,5a5d1ef1e4b0db471c2d0426,559c2234e4b06aca36af13c6,Cogs,SURE-JELL
953,511111500179,Beer Wine Spirits,,Terrapin,,5a5d26c7e4b06ba572cf24a5,5332f709e4b03c9a25efd0f1,Cogs,TERRAPIN
954,511111501053,Frozen,,Smart Made,False,588ba164e4b02187f85cdadf,559c2234e4b06aca36af13c6,Cogs,SMART MADE
955,511111417057,Baking,BAKING,test brand @1602694099888,,5f872bd4be37ce66db5dd983,5f872bd3be37ce66db5dd982,Cogs,
956,511111405023,Magazines,,Coastal Living Magazine,,5d6415a26d5f3b23d1bc790b,5d5d4fd16d5f3b23d1bc7905,Cogs,511111405023
957,511111404231,Personal Care,,LOVE BEAUTY AND PLANET,False,5a8c5ee7e4b07f0a2dac8948,5332f5f6e4b03c9a25efd0b4,Cogs,LOVE BEAUTY AND PLANET
958,511111005865,Health & Wellness,,Protein One™,,5daf2a6b1dda2c3e1416ae91,5332f5f3e4b03c9a25efd0ae,Cogs,PROTEIN ONE
959,511111203766,,,Sugar Free NOS,,5332f753e4b03c9a25efd110,5332f5ebe4b03c9a25efd0a8,Cpgs,
960,511111605492,Magazines,,Yoga Journal Magazine,,5d66e03f6d5f3b6188d4f054,5d5d4fd16d5f3b23d1bc7905,Cogs,511111605492
961,511111414551,Baking,BAKING,Show this Brand A,,5ea07e02be37ce3e45b6a781,5ea07defbe37ce3e45b6a780,Cogs,
962,511111501541,Snacks,,Smartfood Selects,,585a9707e4b03e62d1ce0e90,5332f5fbe4b03c9a25efd0ba,Cogs,
963,511111617136,Baking,BAKING,test brand @1603925787381,,5f99f71bbe37ce13da9eade8,5f99f71bbe37ce13da9eade6,Cogs,TEST BRANDCODE @1603925787381
